site_id,zone,pctvalid_ndvi_cor,n_obs,mean_pctvalid
ME_ABR,AZ,-0.25108823001720765,103,0.9543380587216787
ME_ABR,USAZ,-0.11901436396482766,107,0.9368019056785521
ME_BIG,AZ,-0.2787414351243196,115,0.928189075273684
ME_BIG,USAZ,-0.2181704973030121,111,0.9059839694323422
ME_KAT,AZ,-0.24023079133715847,172,0.8276986588041101
ME_KAT,USAZ,-0.12347874379765897,186,0.8323382157881163
ME_NBR,AZ,-0.18453312037190123,190,0.9104573246019602
ME_NBR,USAZ,-0.2636466025306201,194,0.8892356972630605
ME_SAD,AZ,-0.2830461815257242,108,0.8960781463944042
ME_SAD,USAZ,-0.22602790732312003,108,0.8892161164864486
ME_SUG,AZ,-0.21371872510826279,106,0.931266208348918
ME_SUG,USAZ,-0.3354760670807739,115,0.9072992299197269
NH_BON,AZ,-0.0923543117519172,186,0.8596007897485404
NH_BON,USAZ,-0.06366532594281916,195,0.8546159257962413
NH_FRA,AZ,-0.138012080906676,164,0.8671362753193557
NH_FRA,USAZ,-0.10512295518184227,170,0.850409160474318
NH_GUY,AZ,-0.2466118889249381,165,0.9169827531133175
NH_GUY,USAZ,-0.0862804800986424,174,0.8789064128616573
NH_MOO,AZ,-0.09515830200274368,103,0.8880163168950904
NH_MOO,USAZ,-0.09932877441377089,101,0.8791848367344197
NH_PRE,AZ,-0.16883945647899207,147,0.799544803393765
NH_PRE,USAZ,-0.1945579122278356,169,0.7889303424687993
NY_ALG,AZ,-0.12622006808855807,137,0.8606345705661693
NY_ALG,USAZ,-0.07093371888850332,137,0.8440501656277976
NY_HAY,AZ,-0.02150475039050096,89,0.9076167903097198
NY_HAY,USAZ,-0.1498376892323353,86,0.8977060769965464
NY_MAR,AZ,-0.09215829443626358,84,0.9078086061283894
NY_MAR,USAZ,-0.10109193303564426,89,0.8909130812590601
NY_SKY,AZ,0.06420928237552122,95,0.8863141912809251
NY_SKY,USAZ,-0.15346061709756745,97,0.8711529484007716
NY_WHF,AZ,-0.038892294316993745,130,0.9191811517144383
NY_WHF,USAZ,0.029510422987407175,129,0.8868902350307153
QC_ALB,AZ,0.1332162699286791,166,0.8319144726644072
QC_ALB,USAZ,-0.02760017431944417,170,0.8194155923256107
QC_AUC,AZ,-0.023326847129713422,142,0.9139958625638522
QC_AUC,USAZ,-0.039781323900585946,144,0.8826105095773451
QC_CAS,AZ,0.06281433903667509,143,0.8796941332379334
QC_CAS,USAZ,-0.02724528395866085,145,0.8682186584422996
QC_COL,AZ,-0.05640801917415477,166,0.8884581004652404
QC_COL,USAZ,0.07660942995533122,162,0.8631198620499687
QC_CON,AZ,0.07332971015614186,143,0.8237241743220832
QC_CON,USAZ,0.044615578047774426,146,0.8195450169603797
QC_FOR,AZ,0.1363034279152229,154,0.8730948950086167
QC_FOR,USAZ,0.1875639674142614,152,0.8514877622613065
QC_JAC,AZ,0.13076458897955476,135,0.8419356692568893
QC_JAC,USAZ,0.1397656849165849,140,0.8336168648884305
QC_JOS,AZ,0.06904469329087308,142,0.9338089386739354
QC_JOS,USAZ,0.0965896234689668,147,0.8907035274948786
QC_LOG,AZ,-0.09145011982471164,145,0.8655142734031331
QC_LOG,USAZ,0.13111178830030068,148,0.8553449831393536
QC_MCW,AZ,-0.14687375167326014,162,0.895369185271969
QC_MCW,USAZ,-0.01530249179842285,164,0.8846699934429949
QC_MIC,AZ,0.03944799841901962,170,0.9281368682537487
QC_MIC,USAZ,0.051470075805353205,169,0.8817089879009751
QC_MSA,AZ,0.09992638852791338,134,0.91392975793751
QC_MSA,USAZ,0.02560366404462773,136,0.8834602470547753
QC_PSA,AZ,0.09689711994619983,146,0.8503308755203118
QC_PSA,USAZ,-0.006499223995650844,144,0.8360396359370708
QC_RIC,AZ,-0.05685772511628428,148,0.8812949821080125
QC_RIC,USAZ,0.14994838086869297,150,0.8651551492203801
QC_SOM,AZ,0.054002526072899466,130,0.8623502798445755
QC_SOM,USAZ,0.09859818784830962,125,0.8546486586493997
QC_VIE,AZ,-0.14287445118147515,176,0.901368114566209
QC_VIE,USAZ,0.022931289730417127,178,0.878623900863502
QC_XAL,AZ,-0.018722506460159848,130,0.8484112877646967
QC_XAL,USAZ,0.03370234823988928,130,0.8453322098215557
VT_CAM,AZ,0.004723427619176338,177,0.9653407808149305
VT_CAM,USAZ,0.03235753006336718,185,0.9033802275960171
VT_MAN,AZ,-0.15694494556644684,173,0.8420284682388552
VT_MAN,USAZ,-0.07149060555488927,181,0.8298040985003893
