site_id,zone,n_observations,model_success,r_squared,deviance_explained
ME_ABR,AZ,103,TRUE,0.7829940548203281,0.8030141077951333
ME_ABR,USAZ,107,TRUE,0.7821602195606564,0.8013707555449231
ME_BIG,AZ,115,TRUE,0.8324231901241388,0.8489485764557838
ME_BIG,USAZ,111,TRUE,0.8200755576455073,0.8384966468246134
ME_KAT,AZ,172,TRUE,0.8542747839626519,0.8647816541261403
ME_KAT,USAZ,186,TRUE,0.7783461170485861,0.7934061919541768
ME_NBR,AZ,190,TRUE,0.7733625273331092,0.7891620827046105
ME_NBR,USAZ,194,TRUE,0.7463269197693925,0.7647433168624442
ME_SAD,AZ,108,TRUE,0.7824920252197443,0.7962448970048125
ME_SAD,USAZ,108,TRUE,0.7655162476208044,0.7917901361129666
ME_SUG,AZ,106,TRUE,0.8557432621102807,0.869625855311175
ME_SUG,USAZ,115,TRUE,0.8257130944333291,0.8483976487108739
NH_BON,AZ,186,TRUE,0.7573946549968404,0.7784509908140183
NH_BON,USAZ,195,TRUE,0.6629171284469131,0.6776716642717211
NH_FRA,AZ,164,TRUE,0.8398297038449286,0.8554383883574462
NH_FRA,USAZ,170,TRUE,0.7849671587636438,0.803724249854645
NH_GUY,AZ,165,TRUE,0.6662609371436219,0.6871189340904607
NH_GUY,USAZ,174,TRUE,0.6894107591962637,0.7105404351711421
NH_MOO,AZ,103,TRUE,0.830020942075775,0.8529124221878984
NH_MOO,USAZ,101,TRUE,0.7841881475071124,0.8128669841912245
NH_PRE,AZ,147,TRUE,0.8496877343943672,0.8641088695792174
NH_PRE,USAZ,169,TRUE,0.7842585375997696,0.8032043166576014
NY_ALG,AZ,137,TRUE,0.752182696433505,0.7723347028804946
NY_ALG,USAZ,137,TRUE,0.7637761296962648,0.7831844802243535
NY_HAY,AZ,89,TRUE,0.7808235824852943,0.8066102514396633
NY_HAY,USAZ,86,TRUE,0.7585224942408286,0.7872989676620304
NY_MAR,AZ,84,TRUE,0.8074383867807273,0.8352147954055221
NY_MAR,USAZ,89,TRUE,0.7997067120880552,0.825736804142117
NY_SKY,AZ,95,TRUE,0.7107911394390283,0.7348778413032804
NY_SKY,USAZ,97,TRUE,0.7652984390463567,0.7882877830706461
NY_WHF,AZ,130,TRUE,0.586845916415779,0.6180311945789118
NY_WHF,USAZ,129,TRUE,0.59927395303656406,0.6293502913360465
QC_ALB,AZ,166,TRUE,0.784149251294514,0.7931065268770089
QC_ALB,USAZ,170,TRUE,0.7063824831735542,0.7316799044965411
QC_AUC,AZ,142,TRUE,0.5685154573533705,0.590258807068112
QC_AUC,USAZ,144,TRUE,0.6362212850702035,0.6631463888894926
QC_CAS,AZ,143,TRUE,0.6472221511603728,0.6824508825566379
QC_CAS,USAZ,145,TRUE,0.717030313021396,0.7460768448150715
QC_COL,AZ,166,TRUE,0.7846897888447059,0.7946359638458415
QC_COL,USAZ,162,TRUE,0.7937352200998959,0.8064326574237703
QC_CON,AZ,143,TRUE,0.6782731719564048,0.7038592164739311
QC_CON,USAZ,146,TRUE,0.6342627639558378,0.6641710170724527
QC_FOR,AZ,154,TRUE,0.6832403875835471,0.705588424029882
QC_FOR,USAZ,152,TRUE,0.7577225011433788,0.7736446960962914
QC_JAC,AZ,135,TRUE,0.6955991640415178,0.7109519270765962
QC_JAC,USAZ,140,TRUE,0.7122538002354704,0.7324924649081928
QC_JOS,AZ,142,TRUE,0.36497572778643705,0.422510917039763
QC_JOS,USAZ,147,TRUE,0.521290135684258,0.5637012725731898
QC_LOG,AZ,145,TRUE,0.6619007272669712,0.6778379452735609
QC_LOG,USAZ,148,TRUE,0.7217330425995623,0.7377352900604427
QC_MCW,AZ,162,TRUE,0.5000647426798596,0.5391570595916507
QC_MCW,USAZ,164,TRUE,0.5530419992331834,0.5984012623681628
QC_MIC,AZ,170,TRUE,0.4170203656043666,0.45637838117080287
QC_MIC,USAZ,169,TRUE,0.530215320220132,0.5645442817279694
QC_MSA,AZ,134,TRUE,0.48838721538876106,0.5297455263960289
QC_MSA,USAZ,136,TRUE,0.7028886988941617,0.7343278413209238
QC_PSA,AZ,146,TRUE,0.7323119102304516,0.7516072928738622
QC_PSA,USAZ,144,TRUE,0.7043720395670827,0.7279619109648059
QC_RIC,AZ,148,TRUE,0.5659944121380698,0.6020951278607908
QC_RIC,USAZ,150,TRUE,0.6587633665552166,0.6876010465776317
QC_SOM,AZ,130,TRUE,0.654544275210297,0.6803124268898056
QC_SOM,USAZ,125,TRUE,0.7084286322767617,0.7341333959436186
QC_VIE,AZ,176,TRUE,0.5424646566598573,0.5656750500913732
QC_VIE,USAZ,178,TRUE,0.5913067854252599,0.6200919689996467
QC_XAL,AZ,130,TRUE,0.674578799708532,0.7051824511288913
QC_XAL,USAZ,130,TRUE,0.6452762297542899,0.6773526570981435
VT_CAM,AZ,177,TRUE,0.6932609751942839,0.7100465869494293
VT_CAM,USAZ,185,TRUE,0.6421815381069451,0.6645120216358475
VT_MAN,AZ,173,TRUE,0.7368220522698814,0.7553277122885934
VT_MAN,USAZ,181,TRUE,0.7514159816317663,0.766275623197343
