site_id,zone,obs_vs_ndvi_mean,obs_vs_ndvi_max,year_vs_obs,n_years,mean_obs_per_year,min_obs_per_year,max_obs_per_year,potential_obs_bias_mean,potential_obs_bias_max
ME_ABR,AZ,0.3105877723516338,0.31692691338200585,0.3212240618603586,38,2.710526315789474,1,7,FALSE,FALSE
ME_ABR,USAZ,-0.07053013920221915,-0.07203520421171283,0.35211265913536854,39,2.7435897435897436,1,7,FALSE,FALSE
ME_BIG,AZ,0.3675135643604184,0.36461680699829596,0.47423157407535743,38,3.026315789473684,1,7,FALSE,FALSE
ME_BIG,USAZ,-0.05268349010308081,-0.05572277572807698,0.44430381585701306,38,2.9210526315789473,1,7,FALSE,FALSE
ME_KAT,AZ,0.5411921068620537,0.5555292096381612,0.5196664526321235,41,4.195121951219512,1,9,TRUE,TRUE
ME_KAT,USAZ,0.4433175893945875,0.42180660024000827,0.5003954701319318,41,4.536585365853658,1,11,TRUE,TRUE
ME_NBR,AZ,0.5281042868473165,0.5072084817863338,0.5323665429573504,41,4.634146341463414,1,10,TRUE,TRUE
ME_NBR,USAZ,0.5693088937104445,0.5488798439426785,0.550855634633247,41,4.7317073170731705,1,9,TRUE,TRUE
ME_SAD,AZ,0.4612589585845297,0.4748241669045888,0.4674049842081773,39,2.769230769230769,1,7,TRUE,TRUE
ME_SAD,USAZ,0.09446613542423671,0.11072882727588515,0.48184101823441955,39,2.769230769230769,1,7,FALSE,FALSE
ME_SUG,AZ,0.18718575615572547,0.21661156896384548,0.40565395966414897,40,2.65,1,7,FALSE,FALSE
ME_SUG,USAZ,0.04816298936213796,0.14346344793739435,0.4516231933815231,40,2.875,1,7,FALSE,FALSE
NH_BON,AZ,0.46525556973167015,0.5054996617410612,0.3724683005775049,41,4.536585365853658,1,11,TRUE,TRUE
NH_BON,USAZ,0.09999718328575748,0.030233228866669477,0.45899602871158546,41,4.7560975609756095,1,11,FALSE,FALSE
NH_FRA,AZ,0.4815979941003074,0.5075965729753786,0.3753888286178022,39,4.205128205128205,1,8,TRUE,TRUE
NH_FRA,USAZ,0.40276848606312876,0.36312229098523613,0.34813646310957397,39,4.358974358974359,1,11,TRUE,FALSE
NH_GUY,AZ,0.47764035215927464,0.45933970935774165,0.3584915554856663,40,4.125,1,8,TRUE,TRUE
NH_GUY,USAZ,0.16883350951360335,0.18663806482367276,0.39192629811935525,40,4.35,1,9,FALSE,FALSE
NH_MOO,AZ,0.16889370254944774,0.20065663579068546,0.28953369142812835,36,2.861111111111111,1,7,FALSE,FALSE
NH_MOO,USAZ,-0.06151746147508254,-0.010516616670609387,0.25521851949780266,37,2.72972972972973,1,6,FALSE,FALSE
NH_PRE,AZ,0.30631867920313766,0.3454717883801934,0.37165626533566304,40,3.675,1,10,FALSE,FALSE
NH_PRE,USAZ,0.1689053148518962,0.25065490260330603,0.33712626131408774,41,4.121951219512195,1,11,FALSE,FALSE
NY_ALG,AZ,0.29669272029023497,0.33173868371284854,0.5827394792842013,40,3.425,1,10,FALSE,FALSE
NY_ALG,USAZ,0.17274520482834418,0.29837255496465664,0.6513739305082629,40,3.425,1,9,FALSE,FALSE
NY_HAY,AZ,0.42422566930689964,0.45673474078182374,0.3874436160238165,40,2.225,1,6,TRUE,TRUE
NY_HAY,USAZ,0.5559332805982996,0.5802427992122344,0.4126595778565792,37,2.324324324324324,1,7,TRUE,TRUE
NY_MAR,AZ,0.46109469822959176,0.42645133845701566,0.219655572400129,38,2.210526315789474,1,6,FALSE,FALSE
NY_MAR,USAZ,0.4461345036605887,0.49315115886437577,0.31030576695156054,39,2.282051282051282,1,6,TRUE,TRUE
NY_SKY,AZ,0.309597767690955,0.3373523327339235,0.3882216233916704,39,2.4358974358974357,1,7,FALSE,FALSE
NY_SKY,USAZ,0.37910039411721236,0.3912051655888201,0.3703939163799524,40,2.425,1,7,FALSE,FALSE
NY_WHF,AZ,0.3253719197454993,0.4423897536060989,0.6510585285384026,39,3.3333333333333335,1,9,FALSE,TRUE
NY_WHF,USAZ,0.0989756198564664,0.25810046287884636,0.6021032816109325,39,3.3076923076923075,1,9,FALSE,FALSE
QC_ALB,AZ,0.24423002639688843,0.2999751295279918,0.5654597084470905,40,4.15,1,10,FALSE,FALSE
QC_ALB,USAZ,-0.23746489453177475,-0.18297994535588305,0.5611810495157504,40,4.25,1,10,FALSE,FALSE
QC_AUC,AZ,-0.13702199770961726,0.011748187480457955,0.4557634427558394,40,3.55,1,10,FALSE,FALSE
QC_AUC,USAZ,-0.3236390148562256,-0.20268799937493912,0.5114843840714266,40,3.6,1,10,FALSE,FALSE
QC_CAS,AZ,-0.1155726535719542,-0.06393316562831487,0.4457408823661785,39,3.6666666666666665,1,9,FALSE,FALSE
QC_CAS,USAZ,-0.25361700475305654,-0.22637216728651896,0.44320494640408326,38,3.8157894736842106,1,10,FALSE,FALSE
QC_COL,AZ,-0.007131575472761496,0.15886454815073625,0.54806368319727,38,4.368421052631579,1,10,FALSE,FALSE
QC_COL,USAZ,-0.17216938050864783,0.014529152789692898,0.46096717961997,37,4.378378378378378,1,10,FALSE,FALSE
QC_CON,AZ,0.07332181399248541,0.13786922658689638,0.418479656276343,39,3.6666666666666665,1,10,FALSE,FALSE
QC_CON,USAZ,-0.15218895292844842,-0.07626402366583546,0.4825936374487165,39,3.7435897435897436,1,10,FALSE,FALSE
QC_FOR,AZ,0.10180495255211518,0.21525936785170813,0.4755786800591071,37,4.162162162162162,1,10,FALSE,FALSE
QC_FOR,USAZ,-0.16984856813328253,0.05608971637391285,0.5151888439196352,38,4,1,9,FALSE,FALSE
QC_JAC,AZ,-0.04273237128181797,0.1005588971904475,0.4943062860802169,39,3.4615384615384617,1,8,FALSE,FALSE
QC_JAC,USAZ,-0.29443796584976784,-0.3157900048281262,0.5013034976846531,39,3.58974358974359,1,9,FALSE,FALSE
QC_JOS,AZ,-0.16319688774629784,-0.11552320595470128,0.4933681726541074,39,3.641025641025641,1,10,FALSE,FALSE
QC_JOS,USAZ,-0.2572759022117485,-0.22029094468898033,0.5265425242775772,39,3.769230769230769,1,10,FALSE,FALSE
QC_LOG,AZ,0.09514265726205086,0.1064004134123167,0.5388064856267567,38,3.8157894736842106,1,9,FALSE,FALSE
QC_LOG,USAZ,-0.09428447000861537,-0.05115393250555197,0.4476514721345372,38,3.8947368421052633,1,10,FALSE,FALSE
QC_MCW,AZ,0.2853677576663443,0.26756973855243077,0.5772649534849866,39,4.153846153846154,1,9,FALSE,FALSE
QC_MCW,USAZ,-0.1802366146901615,-0.1499098157870446,0.5699146275951411,39,4.205128205128205,1,10,FALSE,FALSE
QC_MIC,AZ,0.43587834877688764,0.4177754221967047,0.566362486819459,41,4.146341463414634,1,10,TRUE,TRUE
QC_MIC,USAZ,0.1464725107014375,0.10585676207018559,0.5458409809917866,41,4.121951219512195,1,10,FALSE,FALSE
QC_MSA,AZ,0.09550598757741581,-0.007005447861942662,0.48852061831690574,38,3.526315789473684,1,10,FALSE,FALSE
QC_MSA,USAZ,-0.3131563989037134,-0.3037123113194902,0.5046203489193976,38,3.5789473684210527,1,9,FALSE,FALSE
QC_PSA,AZ,0.22894428455802238,0.23950371866680828,0.42956952067487153,39,3.7435897435897436,1,9,FALSE,FALSE
QC_PSA,USAZ,-0.08705456415384238,-0.004244363900268227,0.4828932415605532,39,3.6923076923076925,1,9,FALSE,FALSE
QC_RIC,AZ,0.23931563449903495,0.30119955406082877,0.4897105416393607,39,3.7948717948717947,1,9,FALSE,FALSE
QC_RIC,USAZ,-0.10922771901232706,-0.09113349511254062,0.45575853654148163,39,3.8461538461538463,1,10,FALSE,FALSE
QC_SOM,AZ,-0.15530347496578042,-0.11681337174040818,0.4196416739583406,39,3.3333333333333335,1,8,FALSE,FALSE
QC_SOM,USAZ,-0.2930459884729645,-0.26635330857721484,0.3702680520089248,39,3.2051282051282053,1,8,FALSE,FALSE
QC_VIE,AZ,0.21982251174110323,0.29887003774028525,0.563281325201494,38,4.631578947368421,1,10,FALSE,FALSE
QC_VIE,USAZ,-0.26240287443318144,-0.25946774094971375,0.5959403555104767,38,4.684210526315789,1,10,FALSE,FALSE
QC_XAL,AZ,0.12384249761958196,0.14767064904624305,0.48184903804635126,38,3.4210526315789473,1,9,FALSE,FALSE
QC_XAL,USAZ,-0.11407386326209933,-0.11305069880353319,0.47200175647469456,38,3.4210526315789473,1,8,FALSE,FALSE
VT_CAM,AZ,0.41499940322445855,0.40171338938858986,0.34786556364110416,40,4.425,1,14,TRUE,TRUE
VT_CAM,USAZ,0.3057978734222169,0.2645246707095647,0.3328167382484545,40,4.625,1,15,FALSE,FALSE
VT_MAN,AZ,0.2384062731056479,0.18986211678967663,0.2599019153359857,40,4.325,1,13,FALSE,FALSE
VT_MAN,USAZ,0.03947275763980107,-0.09717409861825603,0.31594438987220563,40,4.525,1,13,FALSE,FALSE
